b,error,step
2.5629937450000555,4.508102815280362e-06,-6.25499994466594e-06
2.5629875036444534,4.507713701762282e-06,-6.241355602121246e-06
2.5629812759036175,4.5073262840190016e-06,-6.227740835917928e-06
2.56297506174794,4.50694055467425e-06,-6.214155677586319e-06
2.5629688611479544,4.506556506388604e-06,-6.200599985461963e-06
2.562962674074205,4.506174131851163e-06,-6.187073749330807e-06
2.562956500497334,4.505793423784784e-06,-6.173576871049136e-06
2.5629503403879386,4.5054143749374045e-06,-6.160109395469959e-06
2.5629441937169104,4.505036978102375e-06,-6.146671028162132e-06
2.5629380604550307,4.504661226093667e-06,-6.133261879703866e-06
2.5629319405731357,4.504287111756053e-06,-6.119881895028101e-06
2.5629258340422147,4.5039146279707e-06,-6.106530920924058e-06
2.5629197408331432,4.503543767639075e-06,-6.093209071522665e-06
2.5629136609171272,4.503174523709524e-06,-6.07991601597746e-06
2.5629075942653086,4.502806889153347e-06,-6.066651818681379e-06
2.5629015408487983,4.502440856966675e-06,-6.053416510276577e-06
2.562895500638991,4.502076420189265e-06,-6.040209807434138e-06
2.5628894736069907,4.501713571870178e-06,-6.027032000144317e-06
2.562883459724244,4.501352305104957e-06,-6.01388274690251e-06
2.5628774589621566,4.5009926130135195e-06,-6.000762087232658e-06
2.5628714712923766,4.500634488755914e-06,-5.98766977999432e-06
2.5628654966863644,4.500277925507201e-06,-5.974606012149053e-06
2.5628595351157473,4.499922916478276e-06,-5.961570617163403e-06
2.5628535865521993,4.4995694549086305e-06,-5.948563547963914e-06
2.562847650967443,4.499217534066419e-06,-5.935584756144863e-06
2.5628417283332965,4.4988671472508985e-06,-5.922634146671157e-06
2.562835818621661,4.498518287791691e-06,-5.909711635609938e-06
2.5628299218044663,4.498170949045592e-06,-5.896817194539494e-06
2.562824037853702,4.497825124397957e-06,-5.883950764395962e-06
2.5628181667412697,4.497480807254342e-06,-5.871112432220826e-06
2.562812308439383,4.4971379910635545e-06,-5.858301886707551e-06
2.562806462920273,4.4967966693002515e-06,-5.845519110092567e-06
2.5628006301561577,4.496456835463124e-06,-5.832764115254463e-06
2.5627948101192377,4.496118483074658e-06,-5.820036919956806e-06
2.5627890027818903,4.495781605692169e-06,-5.807337347452091e-06
2.562783208116586,4.495446196902762e-06,-5.794665304037494e-06
2.5627774260956593,4.4951122503102586e-06,-5.782020926936582e-06
2.562771656691751,4.494779759560334e-06,-5.769403908395532e-06
2.5627658998774,4.494448718316965e-06,-5.756814350998951e-06
2.5627601556253197,4.494119120278171e-06,-5.7442520802197805e-06
2.5627544239081246,4.493790959160364e-06,-5.731717195089914e-06
2.5627487046985458,4.493464228710485e-06,-5.719209578813889e-06
2.5627429979694747,4.493138922708272e-06,-5.7067290710755e-06
2.562737303693748,4.492815034954235e-06,-5.694275726497722e-06
2.562731621844298,4.492492559277703e-06,-5.681849450045462e-06
2.562725952394188,4.492171489538924e-06,-5.669450110268315e-06
2.5627202953164034,4.491851819617019e-06,-5.657077784437803e-06
2.5627146505840717,4.491533543422472e-06,-5.6447323317776466e-06
2.562709018170405,4.491216654893721e-06,-5.632413666578628e-06
2.5627033980485723,4.490901147989731e-06,-5.62012183280558e-06
2.562697790191907,4.490587016701772e-06,-5.607856665257316e-06
2.562692194573742,4.490274255043738e-06,-5.595618164822014e-06
