b,error,step
2.240012784118538,2.6962523615910715e-05,1.2784118538000655e-05
2.2400255285249933,2.6960901919772072e-05,1.2744406455045265e-05
2.240038233343656,2.695929028277445e-05,1.270481866288975e-05
2.240050898698593,2.695768864227111e-05,1.2665354936824968e-05
2.2400635247129728,2.6956096936071953e-05,1.2626014379790718e-05
2.240076111510005,2.6954515102321172e-05,1.2586797032199115e-05
2.2400886592122857,2.6952943079578066e-05,1.2547702280762962e-05
2.240101167942262,2.695138080675631e-05,1.2508729976268285e-05
2.240113637821653,2.694982822319449e-05,1.2469879390852867e-05
2.2401260689721867,2.694828526856127e-05,1.2431150533842583e-05
2.240138461515108,2.69467518829148e-05,1.2392542921180194e-05
2.240150815570556,2.6945228006778236e-05,1.2354055447971746e-05
2.24016313125944,2.694371358090347e-05,1.2315688884267928e-05
2.240175408701446,2.6942208546517573e-05,1.227744200571479e-05
2.240187648016635,2.6940712845121943e-05,1.2239315189344069e-05
2.240199849323871,2.6939226418684424e-05,1.220130723567081e-05
2.2402120127421097,2.6937749209478067e-05,1.2163418238841928e-05
2.2402241383896926,2.6936281160166215e-05,1.2125647582905685e-05
2.2402362263847873,2.6934822213746432e-05,1.2087995094667292e-05
2.2402482768452736,2.6933372313561662e-05,1.205046048635694e-05
2.2402602898880963,2.693193140337786e-05,1.2013042822722753e-05
2.240272265630634,2.6930499427214863e-05,1.1975742537639888e-05
2.240284204189313,2.692907632951293e-05,1.1938558678981082e-05
2.2402961056804207,2.6927662055032174e-05,1.190149110774641e-05
2.2403079702199973,2.6926256548863092e-05,1.1864539576578181e-05
2.24031979792308,2.6924859756515488e-05,1.1827703082722962e-05
2.240331588905272,2.692347162372963e-05,1.1790982191950405e-05
2.2403433432812108,2.692209209665555e-05,1.1754375938810568e-05
2.2403550611653236,2.6920721121762167e-05,1.1717884112805166e-05
2.2403667426715734,2.6919358645864743e-05,1.1681506249860973e-05
2.240378387913656,2.691800461610014e-05,1.1645242082636287e-05
2.2403899970047316,2.6916658979956274e-05,1.1609091075559519e-05
2.240401570058269,2.691532168517131e-05,1.157305353727267e-05
2.240413107186127,2.691399267995542e-05,1.1537127857952356e-05
2.2404246085012285,2.6912671912678358e-05,1.1501315101636322e-05
2.2404360741152365,2.6911359332136505e-05,1.1465614007999392e-05
2.2404475041395457,2.691005488743671e-05,1.143002430925577e-05
2.240458898685541,2.6908758527964205e-05,1.1394545995191407e-05
2.240470257864048,2.690747020344424e-05,1.1359178507142076e-05
2.240481581785236,2.690618986395133e-05,1.1323921187855746e-05
2.2404928705597875,2.690491745977344e-05,1.1288774551587721e-05
2.240504124297133,2.6903652941611575e-05,1.1253737345562342e-05
2.2405153431067024,2.6902396260435937e-05,1.121880956933552e-05
2.2405265270977255,2.690114736750617e-05,1.1183991023067108e-05
2.2405376763787954,2.6899906214419356e-05,1.1149281069933181e-05
2.2405487910587016,2.689867275301436e-05,1.111467990622117e-05
2.2405598712452033,2.6897446935507456e-05,1.1080186501644107e-05
2.2405709170458366,2.6896228714400397e-05,1.104580063326921e-05
2.2405819285681683,2.689501804245021e-05,1.1011522331738632e-05
2.2405929059193035,2.689381487272255e-05,1.0977351135199598e-05
2.240603849205867,2.6892619158592207e-05,1.094328656359167e-05
2.240614758534453,2.6891430853690708e-05,1.0909328585828604e-05
2.240625634010652,2.689024991201287e-05,1.0875476199156964e-05
2.2406364757406654,2.6889076287737303e-05,1.0841730013311235e-05
2.240647283829671,2.688790993540387e-05,1.0808089005553967e-05
2.2406580583825515,2.6886750809831743e-05,1.0774552880565835e-05
2.240668799504106,2.6885598866095905e-05,1.074112155441398e-05
2.2406795072986374,2.6884454059569036e-05,1.070779453149484e-05
2.240690181870185,2.6883316345895934e-05,1.067457154757534e-05
2.240700823322531,2.6882185680990312e-05,1.0641452345971913e-05
2.240711431759064,2.688106202104812e-05,1.0608436533221521e-05
2.240722007282848,2.6879945322538714e-05,1.0575523783806773e-05
2.2407325499964448,2.687883554222158e-05,1.054271359679504e-05
2.240743060002423,2.687773263709146e-05,1.051000597840357e-05
2.2407535374028034,2.6876636564434795e-05,1.0477400380182189e-05
2.2407639822994194,2.6875547281790872e-05,1.044489661605752e-05
2.240774394793637,2.6874464746978854e-05,1.0412494217515444e-05
2.2407847749864866,2.6873388918082907e-05,1.03801928497127e-05
2.240795122978776,2.6872319753438723e-05,1.0347992289272412e-05
2.240805438871068,2.6871257211634364e-05,1.0315892291945516e-05
2.240815722763617,2.687020125151535e-05,1.0283892549090012e-05
2.24082597475614,2.6869151832206875e-05,1.0251992522913866e-05
2.2408361949480744,2.6868108913085542e-05,1.0220191934529055e-05
2.2408463834388996,2.6867072453744748e-05,1.0188490825235874e-05
2.2408565403271083,2.6866042414099048e-05,1.015688820871219e-05
2.2408666657116956,2.6865018754229775e-05,1.0125384587222896e-05
2.2408767596908827,2.686400143451481e-05,1.0093979187164592e-05
2.240886822362407,2.686299041559617e-05,1.0062671524480038e-05
2.2408968538241965,2.686198565831149e-05,1.0031461789239415e-05
2.2409068541734016,2.686098712378947e-05,1.0000349205174786e-05
2.2409168235071064,2.6859994773377406e-05,9.969333704784589e-06
2.2409267619221978,2.685900856865293e-05,9.938415091337305e-06
2.24093666951519,2.685802847143969e-05,9.907592992242087e-06
2.2409465463818687,2.6857054443841868e-05,9.876866678748542e-06
2.2409563926182505,2.685608644814651e-05,9.846236381783058e-06
2.240966208319664,2.685512444691499e-05,9.81570141345145e-06
2.2409759935816678,2.685416840288869e-05,9.785262003791928e-06
2.240985748498733,2.6853218279119326e-05,9.754917065230018e-06
2.2409954731656936,2.6852274038823927e-05,9.724666960586603e-06
2.2410051676771294,2.6851335645444765e-05,9.694511435842657e-06
2.2410148321268273,2.6850403062700104e-05,9.664449697854849e-06
2.241024466608533,2.6849476254509665e-05,9.634481705766973e-06
2.2410340712157595,2.6848555185012337e-05,9.604607226432194e-06
2.241043646041636,2.6847639818578743e-05,9.574825876601523e-06
2.2410531911789606,2.6846730119805564e-05,9.54513732454032e-06
2.2410627067203848,2.6845826053495915e-05,9.515541424143237e-06
2.2410721927579913,2.684492758469888e-05,9.486037606531994e-06
2.2410816493837205,2.6844034678667526e-05,9.456625729153956e-06
2.241091076689631,2.684314730083232e-05,9.427305910580941e-06
2.241100474766654,2.684226541691891e-05,9.398077022826357e-06
2.2411098437060786,2.684138899280545e-05,9.368939424714284e-06
2.241119183598877,2.6840517994585726e-05,9.33989279827685e-06
2.24112849453561,2.6839652388576397e-05,9.310936733175623e-06
2.241137776606453,2.6838792141313986e-05,9.282070843052992e-06
2.241147029901049,2.6837937219565404e-05,9.253294595890083e-06
2.2411562545094172,2.683708759024473e-05,9.224608368274545e-06
2.24116545052093,2.68362432205053e-05,9.196011512724311e-06
2.2411746180246546,2.6835404077707275e-05,9.167503724594184e-06
2.2411837571093938,2.6834570129412997e-05,9.139084739206993e-06
2.2411928678636523,2.683374134338818e-05,9.11075425857888e-06
2.2412019503757623,2.6832917687590283e-05,9.08251210995914e-06
2.2412110047339877,2.683209913015662e-05,9.054358225402126e-06
2.2412200310256987,2.6831285639479525e-05,9.026291710956258e-06
2.2412290293384376,2.6830477184107223e-05,8.99831273892815e-06
2.241237999759537,2.6829673732778487e-05,8.970421099263604e-06
2.241246942375763,2.6828875254452473e-05,8.942616226192968e-06
2.241255857273578,2.6828081718285037e-05,8.914897815071043e-06
2.2412647445394946,2.682729309359477e-05,8.887265916524001e-06
2.2412736042596015,2.6826509349905048e-05,8.859720106890734e-06
2.2412824365196187,2.6825730456938068e-05,8.832260017133109e-06
2.2412912414049946,2.682495638460441e-05,8.804885375912619e-06
2.2413000190012626,2.6824187102970818e-05,8.777596268050303e-06
2.241308769393431,2.6823422582313354e-05,8.750392168188625e-06
2.241317492665949,2.6822662793118446e-05,8.72327251810745e-06
2.2413261889037672,2.6821907705989036e-05,8.696237818295316e-06
2.2413348581907013,2.6821157291787955e-05,8.669286934104292e-06
2.2413435006107565,2.6820411521518485e-05,8.642420055160471e-06
2.241352116247552,2.6819670366375768e-05,8.61563679555033e-06
2.241360705184585,2.6818933797722208e-05,8.588937033149335e-06
2.241369267504868,2.6818201787117566e-05,8.56232028301207e-06
2.241377803291648,2.6817474306255862e-05,8.535786779617638e-06
2.2413863126271503,2.6816751327072895e-05,8.509335502449034e-06
2.241394795594009,2.6816032821621613e-05,8.482966858736063e-06
2.241403252274101,2.681531876217205e-05,8.456680092194802e-06
2.2414116827494777,2.6814609121129056e-05,8.43047537646413e-06
2.241420087101294,2.681390387112453e-05,8.404351816260203e-06
2.2414284654114076,2.681320298487913e-05,8.378310113688059e-06
2.241436817760646,2.6812506435348515e-05,8.352349238460732e-06
2.241445144229904,2.6811814195629887e-05,8.326469258079783e-06
2.2414534448998937,2.6811126238981855e-05,8.300669989580456e-06
2.241461719850836,2.6810442538849267e-05,8.274950942244175e-06
2.241469969162728,2.6809763068840073e-05,8.249311891805888e-06
2.241478192915397,2.6809087802719004e-05,8.223752669067608e-06
2.24148639118838,2.680841671441817e-05,8.1982729831509e-06
2.241494564061064,2.6807749778023436e-05,8.172872683953614e-06
2.2415027116126907,2.6807086967772925e-05,8.147551626702665e-06
2.241510833921533,2.6806428258124717e-05,8.122308842395398e-06
2.241518931066656,2.68057736236102e-05,8.097145122842875e-06
2.2415270031260612,2.680512303898657e-05,8.072059405339616e-06
2.241535050177947,2.6804476479131646e-05,8.047051885728962e-06
2.2415430723002063,2.680383391908432e-05,8.022122259365716e-06
2.2415510695703498,2.6803195334050263e-05,7.997270143444979e-06
2.24155904206583,2.6802560699374173e-05,7.972495480235153e-06
2.2415669898636588,2.6801929990570277e-05,7.947797828755654e-06
2.2415749130406115,2.680130318330457e-05,7.923176952751021e-06
2.241582811673467,2.6800680253374806e-05,7.898632855329879e-06
2.2415906858385353,2.680006117674757e-05,7.874165068422201e-06
2.241598535612026,2.6799445929527772e-05,7.849773490775647e-06
2.241606361069715,2.6798834487984803e-05,7.825457688959148e-06
2.2416141622873744,2.6798226828516375e-05,7.80121765941999e-06
2.2416219393402,2.6797622927693963e-05,7.77705282573038e-06
2.241629692303368,2.679702276221815e-05,7.752963167906302e-06
2.241637421252024,2.6796426308918002e-05,7.72894865574969e-06
2.241645126260872,2.679583354478265e-05,7.70500884827996e-06
2.241652807404286,2.6795244446952186e-05,7.68114341376247e-06
2.2416604647566314,2.6794658992691306e-05,7.657352345535884e-06
2.241668098392051,2.679407715940491e-05,7.633635419779239e-06
2.241675708383871,2.679349892468393e-05,7.609991819812478e-06
2.241683294806016,2.6792924266194684e-05,7.586422145156035e-06
2.2416908577318537,2.6792353161767236e-05,7.5629258375897734e-06
2.2416983972341673,2.6791785589396505e-05,7.539502313580471e-06
2.2417059133859274,2.6791221527182975e-05,7.516151760089684e-06
2.2417134062597754,2.6790660953370403e-05,7.49287384804731e-06
2.2417208759280207,2.679010384634608e-05,7.469668245274619e-06
2.241728322463224,2.6789550184595542e-05,7.446535203126103e-06
2.2417357459368468,2.6788999946803133e-05,7.423473622925059e-06
2.2417431464208337,2.6788453111733635e-05,7.400483986952366e-06
2.2417505239867856,2.678790965829195e-05,7.3775659519270675e-06
2.241757878705823,2.6787369565533303e-05,7.354719037344637e-06
2.241765210649171,2.678683281261919e-05,7.331943348010128e-06
2.24177251988755,2.6786299378860875e-05,7.3092383789941096e-06
2.2417798064912198,2.678576924371599e-05,7.2866036697760705e-06
2.2417870705309855,2.6785242386713906e-05,7.264039765697561e-06
2.241794312076968,2.6784718787544797e-05,7.241545982417108e-06
2.2418015311988575,2.678419842604057e-05,7.219121889612268e-06
2.2418087279666095,2.6783681282123012e-05,7.196767751960209e-06
2.241815902449717,2.678316733585725e-05,7.174483107608154e-06
2.2418230547174884,2.67826565674286e-05,7.1522677713709015e-06
2.241830184838872,2.6782148957156755e-05,7.130121383536192e-06
2.2418372928827313,2.6781644485473744e-05,7.1080438592829864e-06
2.2418443789176794,2.6781143132936306e-05,7.08603494814497e-06
2.2418514430123566,2.6780644880204034e-05,7.064094677211585e-06
2.2418584852348205,2.6780149708083442e-05,7.042222463837788e-06
2.2418655056530943,2.677965759748703e-05,7.02041827382871e-06
2.2418725043349137,2.677916852945174e-05,6.998681819414543e-06
