b,error,step
1.2025014683601691,8.881702191312611e-05,1.4683601692322412e-06
1.202502929083503,8.881700062769283e-05,1.460723333845948e-06
1.2025043822091137,8.881697956308382e-05,1.4531256107286339e-06
1.202505827777361,8.881695871699488e-05,1.4455682473268894e-06
1.2025072658269103,8.881693808716822e-05,1.4380495492183343e-06
1.2025086963970095,8.88169176713572e-05,1.4305700992700565e-06
1.2025101195269612,8.881689746733536e-05,1.4231299516609397e-06
1.2025115352552813,8.88168774729075e-05,1.4157283201310378e-06
1.202512943620649,8.881685768589604e-05,1.4083653676610908e-06
1.2025143446613094,8.881683810414939e-05,1.4010406603759407e-06
1.2025157384152367,8.881681872553923e-05,1.3937539273811694e-06
1.2025171249204323,8.881679954795636e-05,1.3865051955441743e-06
1.202518504214938,8.881678056930982e-05,1.3792945057211625e-06
1.2025198763357252,8.881676178754269e-05,1.3721207872130492e-06
1.202521241320592,8.881674320060555e-05,1.3649848666918984e-06
1.2025225992067397,8.881672480647544e-05,1.3578861477459014e-06
1.2025239500308418,8.881670660315484e-05,1.350824102130943e-06
1.2025252938297069,8.881668858866308e-05,1.3437988650721877e-06
1.2025266306400215,8.881667076103878e-05,1.3368103146671473e-06
1.2025279604982828,8.881665311834051e-05,1.3298582612897292e-06
1.202529283440215,8.881663565865551e-05,1.3229419322247082e-06
1.2025305995019766,8.881661838008242e-05,1.3160617615692871e-06
1.2025319087196713,8.881660128073771e-05,1.309217694700493e-06
1.2025332111286304,8.881658435876523e-05,1.3024089591251453e-06
1.2025345067645787,8.881656761232015e-05,1.295635948306284e-06
1.20253579566259,8.881655103958366e-05,1.2888980112091275e-06
1.2025370778580362,8.881653463874862e-05,1.2821954462616247e-06
1.2025383533853273,8.881651840803742e-05,1.275527291122458e-06
1.2025396222794833,8.88165023456807e-05,1.2688941559702016e-06
1.202540884574846,8.881648644993338e-05,1.2622953626806321e-06
1.2025421403057575,8.881647071906674e-05,1.2557309114757942e-06
1.2025433895067226,8.881645515136511e-05,1.2492009651143832e-06
1.2025446322112432,8.881643974514183e-05,1.2427045206209186e-06
1.2025458684536479,8.881642449871444e-05,1.2362424046674647e-06
1.2025470982672757,8.881640941042802e-05,1.2298136278232619e-06
1.202548321685398,8.88163944786443e-05,1.2234181223647056e-06
1.2025495387414764,8.881637970173691e-05,1.2170560783619777e-06
1.2025507494689582,8.881636507809457e-05,1.210727481826268e-06
1.2025519539002747,8.88163506061328e-05,1.20443131645942e-06
1.2025531520684263,8.881633628427483e-05,1.1981681515838005e-06
1.2025543440058983,8.881632211096453e-05,1.1919374720559262e-06
1.2025555297448511,8.881630808466374e-05,1.1857389528024953e-06
1.2025567093181224,8.881629420383996e-05,1.1795732712815976e-06
1.20255788275794,8.881628046698174e-05,1.1734398175367033e-06
1.2025590500956103,8.88162668726026e-05,1.1673376703047467e-06
1.2025602113631306,8.881625341922129e-05,1.1612675203664935e-06
1.2025613665921193,8.881624010537422e-05,1.1552289886918032e-06
1.2025625158140045,8.88162269296138e-05,1.149221885210494e-06
1.20256365905993,8.881621389050841e-05,1.143245925483427e-06
1.202564796361324,8.881620098663625e-05,1.1373013939497412e-06
1.2025659277489371,8.881618821659614e-05,1.1313876131513467e-06
1.202567053253534,8.881617557899989e-05,1.1255045968550093e-06
1.2025681729056616,8.881616307247371e-05,1.1196521276790605e-06
1.202569286735976,8.881615069565517e-05,1.113830314425357e-06
1.2025703947743875,8.881613844720308e-05,1.1080384114681152e-06
1.2025714970511183,8.881612632578463e-05,1.1022767307800052e-06
1.2025725935966072,8.881611433007618e-05,1.0965454888545167e-06
1.20257368444006,8.881610245878081e-05,1.0908434529000033e-06
1.2025747696114686,8.881609071060401e-05,1.085171408510277e-06
1.202575849140662,8.881607908426453e-05,1.0795291933707318e-06
1.2025769230564798,8.881606757850446e-05,1.0739158178285635e-06
1.2025779913885752,8.881605619206727e-05,1.0683320954552045e-06
1.2025790541655574,8.881604492372019e-05,1.0627769821969224e-06
1.202580111416673,8.881603377223425e-05,1.057251115543778e-06
1.2025811631705583,8.881602273639805e-05,1.051753885317197e-06
1.2025822094554703,8.881601181501554e-05,1.0462849120429496e-06
1.2025832503001948,8.881600100689583e-05,1.04084472440924e-06
1.2025842857332323,8.881599031086167e-05,1.0354330375328402e-06
1.2025853157823794,8.88159797257539e-05,1.0300491470882633e-06
1.2025863404757846,8.881596925042017e-05,1.0246934052382528e-06
1.2025873598412848,8.881595888372204e-05,1.0193655002321833e-06
1.2025883739066898,8.88159486245317e-05,1.014065404980613e-06
1.2025893826998229,8.881593847173081e-05,1.008793133028263e-06
1.2025903862476537,8.88159284242205e-05,1.0035478308356716e-06
1.2025913845775853,8.88159184809075e-05,9.983299316118632e-07
1.2025923777170076,8.881590864070805e-05,9.931394222562062e-07
1.2025933656926322,8.881589890255543e-05,9.87975624644477e-07
1.2025943485314696,8.881588926538977e-05,9.828388374266694e-07
1.2025953262603537,8.881587972816194e-05,9.777288840773224e-07
1.2025962989057934,8.881587028983611e-05,9.72645439745179e-07
1.2025972664941482,8.881586094938707e-05,9.675883547721753e-07
1.2025982290517507,8.881585170579913e-05,9.62557602512959e-07
1.2025991866046217,8.881584255806892e-05,9.5755287099486e-07
1.2026001391791075,8.881583350519952e-05,9.525744857352691e-07
1.2026010868009172,8.881582454620788e-05,9.47621809688215e-07
1.2026020294959494,8.881581568011928e-05,9.426950322577454e-07
1.202602967289995,8.881580690596824e-05,9.377940455301825e-07
1.202603900208207,8.881579822280449e-05,9.329182120154655e-07
1.2026048282758748,8.881578962968508e-05,9.280676678269373e-07
