b,error,step
2.4040020357339404,8.883085053238174e-05,2.035733940530804e-06
2.4040040688158952,8.883080922376195e-05,2.0330819547886847e-06
2.4040060992494285,8.883076802269392e-05,2.0304335333065637e-06
2.404008127037712,8.883072692890298e-05,2.0277882835095795e-06
2.4040101521843233,8.883068594210718e-05,2.02514661129527e-06
2.4040121746929892,8.883064506202154e-05,2.0225086658776092e-06
2.4040141945669493,8.883060428837233e-05,2.0198739600907345e-06
2.404016211809578,8.883056362088334e-05,2.017242628493676e-06
2.404018226424317,8.883052305927767e-05,2.0146147390320834e-06
2.404020238414555,8.883048260328004e-05,2.011990237971162e-06
2.4040222477842357,8.883044225260501e-05,2.009369680866513e-06
2.404024254536598,8.883040200698142e-05,2.0067523625044714e-06
2.404026258674773,8.883036186614123e-05,2.0041381749713594e-06
2.404028260202284,8.883032182980897e-05,2.0015275108420383e-06
2.4040302591222886,8.883028189771736e-05,1.9989200046310884e-06
2.4040322554383784,8.883024206959062e-05,1.9963160897695786e-06
2.404034249153996,8.883020234515742e-05,1.9937156174876236e-06
2.404036240272556,8.883016272414677e-05,1.9911185602516923e-06
2.4040382287976505,8.88301232062847e-05,1.988525094365201e-06
2.4040402147322473,8.883008379131158e-05,1.9859345967709885e-06
2.4040421980804116,8.883004447894451e-05,1.983348164369403e-06
2.4040441788446647,8.883000526893381e-05,1.9807642530622616e-06
2.4040461570290725,8.882996616099825e-05,1.9781844078359256e-06
2.4040481326364267,8.882992715488393e-05,1.975607354154363e-06
2.404050105670725,8.882988825031239e-05,1.973034298163867e-06
2.4040520761351116,8.882984944702318e-05,1.9704643867690663e-06
2.404054044032636,8.882981074475861e-05,1.9678975244907804e-06
2.404056009366917,8.882977214324943e-05,1.9653342810954655e-06
2.404057972141261,8.882973364223445e-05,1.962774343944318e-06
2.404059932358582,8.882969524146002e-05,1.9602173209065654e-06
2.4040618900225934,8.882965694065742e-05,1.9576640113427857e-06
2.4040638451365886,8.88296187395668e-05,1.955113995144586e-06
2.404065797704077,8.882958063792473e-05,1.952567488583412e-06
2.4040677477282983,8.88295426354733e-05,1.9500242212089347e-06
2.4040696952124643,8.882950473195657e-05,1.947484165931712e-06
2.404071640160194,8.882946692711077e-05,1.9449477295374606e-06
2.4040735825746578,8.882942922068098e-05,1.9424144639401675e-06
2.40407552245919,8.882939161241035e-05,1.9398845321205727e-06
2.4040774598167314,8.882935410204998e-05,1.9373575415038147e-06
2.4040793946505756,8.88293166893452e-05,1.934833844252637e-06
2.4040813269644223,8.882927937403313e-05,1.9323138467086665e-06
2.4040832567616732,8.88292421558579e-05,1.9297972508880434e-06
2.4040851840451607,8.882920503457475e-05,1.927283487468401e-06
2.4040871088182594,8.882916800993039e-05,1.924773098682664e-06
2.404089031084669,8.882913108166341e-05,1.922266409604134e-06
