name,value,error
logaritmic,"2,40544884335542","8,88150569280846E-05"
hyperbolic,"1,20278055428253","8,8814969349723E-05"
algebraic (a=2),"2,24380742735821","2,67020577999795E-05"
algebraic (a=2.25),"2,56059403139803","4,42121902048472E-06"
algebraic (a=2.5),"2,87319559579891","7,90780000790975E-06"
algebraic (a=2.75),"3,18599944674935","1,79776775310868E-05"
algebraic (a=3),"3,49500064605151","2,82216965361133E-05"
algebraic (a=3.25),"3,80499965131377","3,67837857259465E-05"
algebraic (a=3.5),"4,11200018737483","4,3380152774057E-05"
algebraic (a=3.75),"4,41900010827183","4,82178921334014E-05"
algebraic (a=4),"4,72500016206048","5,16203761779074E-05"
algebraic (a=4.25),"5,0309999916998","5,38974988129513E-05"
algebraic (a=4.5),"5,33600000865477","5,53118101200334E-05"
algebraic (a=4.75),"5,64000015544806","5,60721475234954E-05"
algebraic (a=5),"5,94499997635108","5,63392182879749E-05"
algebraic (a=5.25),"6,24899996399836","5,62390635720422E-05"
algebraic (a=5.5),"6,55200006630399","5,5866337754531E-05"
algebraic (a=5.75),"6,85599997398115","5,52931680688869E-05"
algebraic (a=6),"7,15899999659872","5,45750174702087E-05"
algebraic (a=6.25),"7,46199999384279","5,37538185239983E-05"
algebraic (a=6.5),"7,76599988147431","5,28622841809536E-05"
algebraic (a=6.75),"8,06799994846404","5,1922713405424E-05"
algebraic (a=7),"8,37099991679108","5,0955882804024E-05"
algebraic (a=7.25),"8,67299995132924","4,99744167030015E-05"
algebraic (a=7.5),"8,97899972775179","4,89957363714033E-05"
algebraic (a=7.75),"9,27300020792398","4,80136926081942E-05"
algebraic (a=8),"9,57999994022796","4,70409778100946E-05"
algebraic (a=8.25),"9,88199994553227","4,60868948776542E-05"
algebraic (a=8.5),"10,1839999470316","4,51512218296172E-05"
algebraic (a=8.75),"10,4859999458553","4,42362423064209E-05"
algebraic (a=9),"10,7869999783783","4,3343123608669E-05"
algebraic (a=9.25),"11,0889999713484","4,2473597681547E-05"
algebraic (a=9.5),"11,3909999638517","4,16278874283607E-05"
algebraic (a=9.75),"11,6919999841521","4,08059299125194E-05"
algebraic (a=10),"11,9939999744988","4,00082134323123E-05"
